Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
845920;157320;39757;19415;20474;18200;14043;5601;36;74;63;1
505173;76193;46557;20130;14564;8958;10607;8180;40;73;20;1
642913;212323;19521;19249;20401;20733;13223;5687;69;67;-1;0
81911;34647;8728;6202;5277;3167;2310;931;45;61;-1;1
550713;60993;23065;14639;13306;8025;6688;9728;49;58;28;1
62316;22783;10588;10281;8919;6359;3421;2219;52;74;-1;0
41107;14756;8036;11051;4979;3592;3120;1553;63;59;8;1
25475;35690;7979;8045;8776;6717;3197;3132;59;43;9;1
178345;6943;9387;5179;5461;4381;3964;2607;60;85;13;0
58052;22445;5745;1695;3104;2226;2526;1268;53;42;-1;0
1085558;113272;13751;28499;27440;22840;24184;9492;61;65;47;1
55496;19888;3499;9946;2697;2393;1872;856;38;69;-1;0
79970;15451;3416;5233;2262;2684;1887;1112;42;59;9;1
57475;24472;12651;9545;5162;4422;2419;1363;77;59;10;1
303794;105405;25046;10807;19728;11989;3581;2341;27;33;16;1
39564;29144;2725;6594;4075;4829;1663;1273;39;38;-1;1
70661;23651;3293;2753;3936;7788;4856;1808;63;49;-1;0
55073;14381;13181;5182;4919;3975;1496;998;36;24;11;1
19763;12527;3607;5890;3400;2990;767;775;61;49;-1;1
120098;39393;8167;6773;5632;4532;2771;2021;52;59;21;1
1280487;139645;38322;26432;19758;20909;9430;3166;45;47;75;1
913247;134116;34385;29550;22835;14152;8510;5172;22;70;73;1
233755;29733;11698;11222;9949;5113;5395;3137;49;72;-1;0
374996;69356;8889;13641;10693;10223;7773;9598;42;65;17;1
172630;60466;7640;6314;4400;4718;3077;1226;70;56;-1;1
298276;100412;23410;13208;14774;13617;17382;6133;71;60;-1;0
758632;104258;28864;16828;20334;10372;4052;1778;28;59;17;1
64323;15386;5042;5931;4826;3298;4714;1011;70;79;22;1
427085;50383;8150;5592;4390;4532;3167;1444;53;50;22;0
381160;40367;9466;26550;12884;5872;2254;1058;33;83;17;0
93166;16092;3811;4450;7958;5175;2345;1245;50;67;-1;1
22797;13920;11995;9644;5429;3398;2075;1227;64;78;-1;1
332586;129312;13897;12125;14515;12861;3444;950;34;51;9;0
235637;44235;8688;8050;10738;9887;5926;3602;72;62;22;0
90515;28948;8557;5018;5842;5517;3175;1746;61;50;8;0
22079;5484;2205;1742;2454;2277;1297;1328;70;60;13;0
367255;131624;12944;16022;12082;10068;5213;1307;36;45;-1;1
